author_id,author_language,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
langnet:reader:author:san:jayadeva,san,Jayadeva,Jayadeva,person,historical,medieval,c. 1200–1300 CE,Eastern India (Odisha/Bengal),Vaiṣṇava bhakti literature,"Jayadeva is the celebrated Sanskrit poet of the Gītagovinda, a lyrical poem on the love of Rādhā and Kṛṣṇa. He is also credited with the Candrāloka, a work on poetics.",85,canonical,high,Well-attested historically; his Gītagovinda is a landmark in Sanskrit literature.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,3,12506,Gītagovinda | Candrāloka
langnet:reader:author:san:jayaraksita,san,Jayarakṣita,Jayarakṣita,person,historical,medieval,c. 12th–13th century CE,Kashmir,Digambara Jainism,"Jayarakṣita was a Digambara Jain monk and scholar, best known for his commentary Sphuṭārthā Śrīghanācārasaṃgrahaṭīkā on the Śrīghanācārasaṃgraha.",35,specialist,medium,Manuscript evidence is limited; the works survive in a few recensions.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,25382,Sphuṭārthā Śrīghanācārasaṃgrahaṭīkā
langnet:reader:author:san:jayarasi,san,Jayarāśi,Jayarāśi,person,historical,ca. 8th–9th century,ca. 800–900,South Asia,"Indian philosophy, scepticism","Indian philosopher and author of the Tattvopaplavasiṃha, a radical sceptical text that critiques knowledge systems, associated with the Cārvāka or materialist school.",45,specialist,medium,Known almost solely from his single extant work; identity and details uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,25619,Tattvopaplavasiṃha
langnet:reader:author:san:jitari,san,Jitāri,Jitāri,person,historical,early medieval,c. 10th century CE,South Asia,"Buddhist logic, Pramāṇa school",Jitāri was a Buddhist scholar known for his works on logic and epistemology. He wrote the Hetutattvopadeśa and other treatises in the pramāṇa tradition.,60,specialist,medium,Biographical details are limited; the attribution is based on colophons and internal references.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4822,Hetutattvopadeśa
langnet:reader:author:san:jivagosvamin,san,Jīvagosvāmin,Jīva Gosvāmī,person,historical,early modern,c. 1513–1608 CE,"Bengal / Vrindavan, Indian subcontinent","Gauḍīya Vaiṣṇavism, Bhakti movement","Jīva Gosvāmī was a prominent Gauḍīya Vaiṣṇava theologian and philosopher, authoring numerous works on bhakti and the philosophy of Kṛṣṇa devotion. He played a key role in systematizing the theology of Chaitanya Mahaprabhu.",85,canonical,high,"Sometimes referred to as Jīva Gosvāmin. His works include the Ṣaṭsandarbhas, exploring the nature of ultimate reality and devotional practice.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,38892,Saṃkalpakalpadruma | Rādhākṛṣṇārcanadīpikā
langnet:reader:author:san:jonaraja-pseudo-jonaraja,san,"Jonarāja, Pseudo-Jonarāja",Jonarāja,person,historical,medieval,15th century,Kashmir,Sanskrit historiography,"Jonarāja was a Kashmiri historian who continued Kalhaṇa's Rājataraṅginī. A separate 'Pseudo-Jonarāja' is a later, possibly spurious, attribution.",30,specialist,medium,The composite entry reflects ambiguity between two layers of authorship; the Pseudo-Jonarāja label denotes a later continuation often conflated.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,19047,Rājataraṅginī
langnet:reader:author:san:jyotirisvarakavisekhara,san,Jyotirīśvarakaviśekhara,Jyotirīśvarakaviśekhara,person,historical,medieval,c. 14th–15th century CE,Mithila (Bihar),Hinduism / Erotic literature,"Jyotirīśvarakaviśekhara was a Maithili poet and scholar, known for the erotic manual Pañcasāyaka, a treatise on kāmaśāstra in Sanskrit.",45,specialist,medium,The name indicates a title ('king of poets'); his identity is tied to the Mithila region.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,12339,Pañcasāyaka
langnet:reader:author:san:damodaragupta,san,Dāmodaragupta,Dāmodaragupta,person,historical,early medieval,c. 8th–9th century CE,Kashmir,Sanskrit court poetry (kāvya),"Dāmodaragupta was a Kashmiri poet and minister, known for his satirical and didactic poem Kuṭṭanīmata (The Advice of a Procuress), which offers insights into urban life and social mores.",65,major,high,Well-attested historical figure; the Kuṭṭanīmata is a unique work of kāvya with a strong narrative element.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,30226,Kuṭṭanīmata
langnet:reader:author:san:dandin,san,Daṇḍin,Daṇḍin,person,historical,classical,c. 7th–8th century CE,South Asia,Sanskrit poetics and prose fiction,"Daṇḍin was an early Indian literary theorist and storyteller, author of the Kāvyādarśa, a foundational work on Sanskrit poetics, and the Daśakumāracarita, a pioneering work of prose fiction.",80,major,high,Secure historical attribution; major figure in Sanskrit literary criticism.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,22568,Kāvyādarśa | Daśakumāracarita
langnet:reader:author:san:darila,san,Dārila,Dārila,person,historical,early medieval,c. 600–900 CE,South Asia,Hindu ritual tradition,"Dārila is an early medieval commentator on the Kauśikasūtra, a text of the Atharvavedic ritual corpus. His bhāṣya represents one of the earliest systematic expositions of domestic Vedic rites.",60,specialist,medium,Attested only through his commentary; biographical details are inferred from textual evidence.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,16551,Kauśikasūtrabhāṣya
langnet:reader:author:san:devapala,san,Devapāla,Devapāla,person,historical,Medieval,c. 1100–1200,South Asia,Hindu; ritual and domestic works; probable Mithila or Bengal region,"Devapāla is a medieval commentator known for the Kāṭhagṛhyasūtrabhāṣya, a gloss on the domestic ritual sūtras of the Kāṭha school. His work reflects the scholastic tradition of Vedic ritual exegesis.",45,specialist,medium,Some uncertainty exists regarding the precise regional and chronological placement; distinct from the Pāla king of the same name.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,84154,Kāṭhagṛhyasūtrabhāṣya
langnet:reader:author:san:dinnaga,san,Diṅnāga,Diṅnāga,person,historical,c. 5th century CE,450–500,South Asia (possibly Andhra region),"Indian subcontinent; Buddhist logic and epistemology, Yogācāra school",Diṅnāga was a pioneering Buddhist logician who established the tradition of Indian logic (hetuśāstra) with his work Pramāṇasamuccaya. His compact Prajñāpāramitāpiṇḍārtha is a concise summary of the Perfection of Wisdom literature.,85,canonical,high,His major works are fragmentary in Sanskrit but preserved in Tibetan and Chinese; the attribution of the Prajñāpāramitāpiṇḍārtha is secure.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,1547,Prajñāpāramitāpiṇḍārtha
langnet:reader:author:san:dhanvin,san,Dhanvin,Dhanvin,person,historical,medieval,c. 10th–12th century,South Asia,Śrauta ritual tradition,"Dhanvin is known for a commentary on the Drāhyāyaṇaśrautasūtra, indicating expertise in the sūtra literature of the Sāmaveda.",35,specialist,medium,Name is rare and works point to a specialized ritual scholar.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,8652,Drāhyāyaṇaśrautasūtrabhāṣya
langnet:reader:author:san:dharmakirti,san,Dharmakīrti,Dharmakīrti,person,historical,c. 7th century CE,600–700,South Asia (probably Nalanda region),Indian subcontinent; Indian Buddhist logic and epistemology,"Dharmakīrti was the most influential Buddhist logician after Diṅnāga, authoring the monumental Pramāṇavārttika and other works on inference, debate, and epistemology. He reformulated the entire Buddhist logical system.",90,canonical,high,"His works are central to the Tibetan Buddhist curriculum; biographical traditions vary, but his historicity is not in doubt.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,27890,Vādanyāya | Hetubindu
langnet:reader:author:san:dhyanacandragosvamin,san,Dhyānacandragosvāmin,Dhyānacandragosvāmin,person,historical,medieval,c. 16th–17th century,Bengal,Gaudiya Vaishnavism,Dhyānacandragosvāmin was a Gaudiya Vaiṣṇava author known for ritual manuals dedicated to the worship of Gaura and Govinda. His work reflects the devotional practices of the Chaitanya tradition.,40,specialist,medium,Name suggests a Gosvāmī title; works are niche within the Gauḍīya corpus.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,14314,Gauragovindārcanasmaraṇapaddhati
langnet:reader:author:san:nagarjuna,san,Nāgārjuna,Nāgārjuna,person,historical,Classical,c. 150–250,South Asia,Buddhist (Madhyamaka),"Nāgārjuna is the foundational philosopher of the Madhyamaka school of Buddhism. His Mūlamadhyamakārikāḥ present the doctrine of emptiness (śūnyatā) through rigorous dialectical reasoning, influencing Mahāyāna thought across Asia.",98,canonical,high,Highly attested figure; attribution of the Ratnāvalī and Dharmasaṃgraha is sometimes debated but widely accepted in tradition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,5,14756,Mūlamadhyamakārikāḥ | Ratnāvalī | Dharmasaṃgraha
langnet:reader:author:san:nagnajit,san,Nagnajit,Nagnajit,person,legendary,epic-legendary,circa 1st millennium BCE (ascribed),South Asia,Ancient Indian art and iconography,"Nagnajit is traditionally regarded as an ancient authority on painting and iconometry, credited with the Citralakṣaṇam, a treatise on the proportions and symbolism of images.",50,common,low,Historicity uncertain; name appears in later art-technical literature as a mythical authority.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,8842,Citralakṣaṇam
langnet:reader:author:san:narahari,san,Narahari,Narahari,person,historical,Late medieval,c. 1100–1300 CE,Indian subcontinent,"Hindu devotional and philosophical traditions, likely Vaiṣṇava","Narahari is known for writing the Bodhasāra, a text on philosophical and spiritual wisdom. He is associated with Hindu scholastic traditions of the late medieval period, though precise biographical information remains limited.",40,common,medium,"Attribution is secure from surviving manuscripts, but the author's life is poorly documented; the name may refer to multiple individuals across genres.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,40571,Bodhasāra
langnet:reader:author:san:narayana,san,Nārāyaṇa,Nārāyaṇa,person,uncertain,c. 10th–12th century,c. 900–1200,South Asia,Sanskrit didactic literature,"Nārāyaṇa is credited with the composition of the Hitopadeśa, a popular collection of fables and moral stories in Sanskrit. The text's authorship is traditionally assigned to Nārāyaṇa, but virtually no independent biographical information survives, and the name may be a literary attribution.",80,canonical,low,The author_display_name is a traditional attribution for the Hitopadeśa; the historical person is elusive and the name may be conventional or pseudonymous.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,20170,Hitopadeśa
langnet:reader:author:san:narayanabhatta,san,Nārāyaṇabhaṭṭa,Nārāyaṇabhaṭṭa,person,historical,medieval,c. 16th–17th century CE,South Asia,Vaiṣṇava,"Nārāyaṇabhaṭṭa was a Sanskrit poet and scholar from Kerala, best known for the Nārāyaṇīya, a devotional work celebrating the life and deeds of Kṛṣṇa.",65,major,high,Well-attested figure in Kerala literary history; the Nārāyaṇīya is widely recited.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,46109,Nārāyaṇīya
langnet:reader:author:san:naropa,san,Nāropa,Nāropa,person,historical,11th century,ca. 1016–1100,South Asia,Indian Buddhist tantra,"Indian Buddhist mahasiddha and scholar, a key figure in the transmission of tantric teachings, particularly the Kālacakra tradition, and a teacher of Marpa.",72,major,high,Attestation in Tibetan and Sanskrit sources; historical figure with hagiographic elements.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4796,Sekoddeśa
langnet:reader:author:san:nilakanthadiksita,san,Nīlakaṇṭhadīkṣita,Nīlakaṇṭhadīkṣita,person,historical,early modern,c. 17th century CE,South Asia,courtly,"Nīlakaṇṭhadīkṣita was a Sanskrit poet and scholar in the court of the Madurai Nāyaks. His satirical work Kaliviḍambana critiques contemporary society, and he also composed panegyric and philosophical verse.",55,major,high,Known from internal evidence and court records; a well-documented figure in early modern South India.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,3016,Kaliviḍambana
langnet:reader:author:san:padmagupta,san,Padmagupta,Padmagupta,person,historical,early medieval,c. 10th–11th century CE,"Malwa region, Indian subcontinent","Paramāra court poetry, Sanskrit kāvya","Padmagupta was a Sanskrit poet at the Paramāra court, celebrated for his epic poem Navasāhasāṅkacarita, which narrates the exploits of King Muñja. His work exemplifies the ornate kāvya style.",60,major,medium,Sometimes confused with later poets; identity attested primarily through the Navasāhasāṅkacarita and references in literary tradition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,51769,Navasāhasāṅkacarita
langnet:reader:author:san:panditasoka,san,Paṇḍitāśoka,Paṇḍitāśoka,person,historical,Medieval,c. 1000–1100,South Asia,Buddhist? Nyāya? Possible overlapping schools; commentary on the Avayavinirākaraṇa suggests logical and epistemological interest,"Paṇḍitāśoka is known for the Avayavinirākaraṇa (a refutation of the doctrine of the whole) and the Sāmānyadūṣaṇadikprasāritā, texts in Indian philosophical debate. His works engage with Nyāya and Buddhist atomism.",25,specialist,low,Very little biographical data; identification as 'Paṇḍitāśoka' suggests a link to the Buddhist lineage but remains uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,6448,Avayavinirākaraṇa | Sāmānyadūṣaṇadikprasāritā
langnet:reader:author:san:panini,san,Pāṇini,Pāṇini,person,historical,ancient,c. 6th–5th century BCE (traditional: c. 520–460 BCE),"Gandhara (northwestern Indian subcontinent, modern Pakistan/Afghanistan)","Vyākaraṇa (Sanskrit grammar), Śāstric tradition","Pāṇini is the author of the Aṣṭādhyāyī, a comprehensive and highly systematic grammar of Sanskrit that remains foundational to linguistic science and the study of ancient Indian knowledge systems.",98,canonical,high,Virtually nothing is known of his life outside his work; his grammar has been the subject of extensive commentary for over two millennia.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,9346,Aṣṭādhyāyī
langnet:reader:author:san:parthasarathimisra,san,Pārthasārathimiśra,Pārthasārathimiśra,person,historical,Early medieval,c. 900–1000 CE,Indian subcontinent,"Mīmāṃsā tradition, Brahminical scholasticism","Pārthasārathimiśra was a prominent Mīmāṃsā philosopher and commentator, best known for his Śāstradīpikā, a lucid exposition of Pūrva Mīmāṃsā. He belonged to the early medieval period of Indian philosophy and wrote in Sanskrit.",85,major,high,Well-attested historical figure with clear known works and traditional biographical details.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,53524,Śāstradīpikā
langnet:reader:author:san:patanjali,san,Patañjali,Patañjali,person,historical,classical,c. 2nd century BCE – 3rd century CE,Indian subcontinent,Yoga and grammar traditions,"Patañjali is the traditional compiler of the Yogasūtras, a foundational text of the Yoga darśana. He is also known as a grammarian for the Mahābhāṣya.",100,canonical,high,Multiple figures named Patañjali; identity as single author is debated but widely accepted.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,616,Yogasūtra
langnet:reader:author:san:pauskarasamhita,san,Pauṣkarasaṃhitā,Pauṣkarasaṃhitā,work_title,not_applicable,medieval,c. 10th–12th century CE,Indian subcontinent (likely South India),"Pāñcarātra Āgama, Vaiṣṇava ritual","The Pauṣkarasaṃhitā is a Sanskrit text of the Pāñcarātra tradition, a religious corpus regarded as revealed scripture. It prescribes temple worship and theological doctrine for Vaiṣṇava communities.",40,specialist,high,"As a work title occupying the author slot, it is a text regarded as divinely revealed; no human author is claimed.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,53290,Pauṣkarasaṃhitā
langnet:reader:author:san:prabodhanandasarasvati,san,Prabodhānandasarasvatī,Prabodhānandasarasvatī,person,historical,16th century CE,c. 1500–1600,South Asia,Gaudiya Vaishnavism; Caitanya tradition,"Prabodhānandasarasvatī was a 16th-century Sanskrit poet and theologian in the Gaudiya Vaishnava tradition, best known for the Caitanyacandrāmṛta, a devotional poem celebrating the life of Caitanya Mahāprabhu.",65,specialist,high,Historically attested author in the Caitanya tradition; clear attribution.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,7445,Caitanyacandrāmṛta
langnet:reader:author:san:pratimoksasutra,san,Prātimokṣasūtra,Prātimokṣasūtra,work_title,not_applicable,classical,c. 5th–1st century BCE,Indian subcontinent,Buddhism,"The Prātimokṣasūtra is a foundational Buddhist disciplinary code listing monastic rules, recited in the uposatha ceremony across multiple Buddhist traditions.",90,canonical,high,The text is treated as an author entry because it functions as the attributed source; no single human author is known.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,7363,Prātimokṣasūtra
langnet:reader:author:san:pseudo-jonaraja-jonaraja,san,Pseudo-Jonarāja Jonarāja,Jonarāja,person,pseudonymous,uncertain,,South Asia (Kashmir),Kashmiri historiography,Author referred to as Pseudo-Jonarāja; likely a later writer continuing the Rājataraṅginī tradition under the name of the historical Jonarāja.,25,obscure,medium,The 'Pseudo-' prefix indicates contested or false attribution; scholarly consensus distinguishes this author from the historical Jonarāja.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,19804,Rājataraṅginī
langnet:reader:author:san:badarayana,san,Bādarāyaṇa,Bādarāyaṇa,person,historical,Ancient,c. 2nd–4th century CE,Indian subcontinent,"Vedānta tradition, compiler of the Brahmasūtra","Bādarāyaṇa is the traditional author of the Brahmasūtra (also known as Vedāntasūtra), a foundational text of the Vedānta school. Though details of his life are obscure, he is venerated as a key figure in the development of systematic Vedānta philosophy.",95,canonical,high,Attribution is solidly traditional; the Brahmasūtra is universally assigned to this figure. The name may also be synonymous with Vyāsa in some traditions.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,6255,Brahmasūtra
langnet:reader:author:san:bana,san,Bāṇa,Bāṇabhaṭṭa,person,historical,early medieval,c. 606–647 CE,South Asia,"Sanskrit court poet, Harsha's court, Kannauj","Bāṇa (also known as Bāṇabhaṭṭa) was a 7th-century Sanskrit prose writer and court poet of Emperor Harshavardhana. He is celebrated for the Harshacharita, a biography of his patron, and the Kadambari, a romance novel. His works are foundational in Sanskrit prose kāvya.",95,canonical,high,The representative title 'Harṣacaritapariśiṣṭa' appears to be a supplementary or related text; Bāṇa's primary corpus is well-established.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,593,Harṣacaritapariśiṣṭa
langnet:reader:author:san:banabhatta,san,Bāṇabhaṭṭa,Bāṇabhaṭṭa,person,historical,Early medieval,c. 600–650 CE,Indian subcontinent,"Poet of the court of King Harṣa, Sanskrit literature","Bāṇabhaṭṭa was a renowned Sanskrit poet and prose writer, best known for his Harṣacarita, a biography of King Harṣa, and the Kādambarī. He served as a court poet and is celebrated for his ornate style and vivid descriptions.",95,canonical,high,Historically attested figure with secure attribution and multiple surviving works.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,3662,Harṣacarita
langnet:reader:author:san:bilhana,san,Bilhaṇa,Bilhaṇa,person,historical,11th–12th century,ca. 1050–1125,South Asia (Kashmir/Deccan),Indian Sanskrit poetry,"Sanskrit poet from Kashmir, author of the celebrated Caurapañcaśikā (Fifty Verses of the Thief), a lyrical poem of illicit love; also wrote the historical Vikramāṅkadevacarita.",65,major,high,Attested in historical records as a court poet under the Calukya king Vikramāditya VI.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,652,Caurapañcaśikā
langnet:reader:author:san:brahmapurana,san,Brahmapurāṇa,Brahmapurāṇa,work_title,not_applicable,"composite, core c. 4th–6th century CE",c. 300–600 CE (final redaction possibly later),India,"Purāṇic tradition; Brahminical, sectarian elements","The *Brahmapurāṇa* is one of the eighteen major Purāṇas, a compendium of mythology, cosmology, genealogy, and religious instruction attributed to the god Brahmā. It is a composite text, gradually expanded over centuries.",75,canonical,high,"Author slot is the text itself (a purāṇa); no human author is known. The text is a collective, incremental composition.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,202159,Brahmapurāṇa
langnet:reader:author:san:buddhaghosa,san,Buddhaghoṣa,Buddhaghoṣa,person,historical,5th century CE,c. 400–450 CE,India (likely Magadha or Nālandā region),Buddhist; associated with Mahāyāna traditions and possibly Nālandā monastery,"Buddhaghoṣa is a Buddhist scholar-monk, author of the *Siddhārthacaritrakāvya*, a poetic biography of the Buddha. Not to be confused with the famous Pāli commentator Buddhaghosa; this Sanskrit author belongs to a different lineage, active in the Gupta period.",50,major,medium,Historical but ambiguous; the name 'Buddhaghoṣa' occurs in multiple Buddhist traditions. This row is distinguished by the Sanskrit work *Siddhārthacaritrakāvya*.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,19189,Siddhārthacaritrakāvya
langnet:reader:author:san:budhasvamin,san,Budhasvāmin,Budhasvāmin,person,legendary,early medieval,c. 8th–9th century CE (speculative),Indian subcontinent (likely Kashmir or Nepal),"Sanskrit story literature, kathā tradition","Budhasvāmin is credited as the author of the Bṛhatkathāślokasaṃgraha, an epitome of the now-lost Bṛhatkathā. His identity is largely inferred from textual tradition and may be a composite figure.",55,major,low,Scholars debate whether Budhasvāmin is a historical person or a traditional attribution; the name may derive from narrative conventions.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,48039,Bṛhatkathāślokasaṃgraha
langnet:reader:author:san:bhallata,san,Bhallaṭa,Bhallaṭa,person,historical,9th–10th century CE,c. 850–950 CE,Kashmir,Kashmiri Śaiva courtly poet,"Bhallaṭa was a Kashmiri Sanskrit poet, author of the *Bhallaṭaśataka*, a century of verses known for their elegant style and emotional depth. He is often cited in anthologies and works on poetics.",35,specialist,medium,"Historical figure, but biographical details are sparse; his fame rests almost entirely on the *Bhallaṭaśataka*.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,2096,Bhallaṭaśataka
langnet:reader:author:san:bharata-muni,san,Bharata Muni,Bharata Muni,person,legendary,ancient,c. 2nd century BCE–2nd century CE,Indian subcontinent,Sanskrit dramaturgy and aesthetics,"Bharata Muni is the legendary sage credited with composing the Nāṭyaśāstra, the foundational treatise on Sanskrit theatre and performance. His historicity is uncertain.",90,canonical,medium,Traditional authorship; likely a composite figure or project name.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,5032,Nāṭyaśāstra
langnet:reader:author:san:bharavi,san,Bhāravi,Bhāravi,person,historical,classical,6th century,South India,Sanskrit epic poetry,"Bhāravi is a celebrated Sanskrit poet of the classical period, known solely for his epic poem Kirātārjunīya, which dramatizes Arjuna's encounter with Śiva.",75,major,high,Securely historical; work widely cited in alamkāraśāstra.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,12908,Kirātārjunīya
langnet:reader:author:san:bhartrhari,san,Bhartṛhari,Bhartṛhari,person,historical,early medieval,c. 5th century CE,Indian subcontinent (possibly Kashmir or central India),Sanskrit grammarian and philosopher; author of the *Vākyapadīya* and the *Śatakatraya*,"Bhartṛhari is a foundational figure in Sanskrit linguistics and philosophy, known for his *Vākyapadīya* on the philosophy of language. He is also credited with the *Śatakatraya*, a collection of three centuries of moral and erotic verse that reflect a worldly and ascetic outlook.",85,major,high,"The identity of the grammarian and the poet has been debated, but current scholarship tends to accept them as the same historical figure. The *Śatakatraya* is widely transmitted and anthologized.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,6101,Śatakatraya
langnet:reader:author:san:bhasa,san,Bhāsa,Bhāsa,person,historical,Classical Sanskrit,c. 3rd–4th century CE,South Asia,Brahmanical,"Bhāsa is one of the earliest known Sanskrit playwrights, traditionally dated to the early centuries CE. He authored at least thirteen plays, of which the Dūtavākya is a representative work. Though few biographical details survive, his dramas are valued for their dramatic structure and engagement with epic themes.",75,major,high,Attested as a foundational figure in classical Sanskrit drama; attribution of plays has been debated but largely accepted.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4781,Dūtavākya
langnet:reader:author:san:bhaskarakantha,san,Bhāskarakaṇṭha,Bhāskarakaṇṭha,person,historical,late medieval,c. 15th–16th century CE,South Asia,Śaiva,"Bhāskarakaṇṭha was a Sanskrit commentator and philosopher active in the late medieval period. He is best known for his commentary (Mokṣopāyaṭīkā) on the Mokṣopāya (Yogavāsiṣṭha), an important work of Advaita Vedantic and Śaiva thought.",50,specialist,high,Biographical details are limited; his prominence rests on the preservation and transmission of his commentary.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,224724,Mokṣopāyaṭīkā
langnet:reader:author:san:bhatti,san,Bhaṭṭi,Bhaṭṭi,person,historical,early classical,c. 6th–7th century CE,South Asia,"Sanskrit kāvya, grammar","Bhaṭṭi is a Sanskrit poet best known for the Rāvaṇavadha (also called Bhaṭṭikāvya), a poetic retelling of the Rāmāyaṇa that simultaneously illustrates grammatical rules. It is a unique blend of literature and pedagogy.",75,major,medium,The attribution to Bhaṭṭi is traditional; little is known about his life.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,48258,Rāvaṇavadha
langnet:reader:author:san:bhavaganesa,san,Bhāvāgaṇeśa,Bhāvāgaṇeśa,person,historical,early modern,16th–17th century CE,South Asia,Hindu philosophy (Advaita Vedanta),"Bhāvāgaṇeśa was an early modern Indian scholar who wrote the Tattvayāthārthyadīpana, a commentary on Advaita Vedanta. His works engage with post-Śaṅkara debates on reality and illusion.",30,specialist,medium,Relatively obscure figure; known mainly through his surviving commentaries.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,10322,Tattvayāthārthyadīpana
langnet:reader:author:san:bhavamisra,san,Bhāvamiśra,Bhāvamiśra,person,historical,early modern,c. 16th century CE,South Asia,Ayurveda and Sanskrit medicine,"Bhāvamiśra was a physician and scholar, author of the Bhāvaprakāśa, a major Ayurvedic compendium. He synthesized earlier medical knowledge and is cited in later traditions.",60,major,high,Well-known figure in Ayurvedic literature. The Bhāvaprakāśa is a standard reference.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,8349,Bhāvaprakāśa
langnet:reader:author:san:bhavatrata,san,Bhavatrāta,Bhavatrāta,person,historical,early medieval,10th–11th century,Kashmir or western India,Vedic ritual exegesis,"Bhavatrāta was a commentator on the Jaiminīyaśrautasūtra, active in the Vedic ritual tradition. His work survives in multiple manuscripts.",20,specialist,medium,Limited biographical data; name known only through colophons.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,61234,Jaiminīyaśrautasūtrabhāṣya
langnet:reader:author:san:bhoja,san,Bhoja,Bhoja,person,historical,11th century,ca. 1000–1055,South Asia (Malwa),Indian kingship and scholarship,"Paramāra king of Malwa and prolific polymath, patron of arts and letters, author of the philosophical commentary Rājamārtaṇḍa on the Yoga Sūtras.",78,major,high,Well-attested historical figure with multiple extant works; attribution of works varies.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,29838,Rājamārtaṇḍa
langnet:reader:author:san:madhava,san,Mādhava,Mādhava,person,historical,medieval,c. 14th century CE,South Asia (Vijayanagara),"Hindu philosophy (Mimamsa, Vedanta)","Mādhava was a 14th-century Indian scholar and minister in the Vijayanagara Empire, often identified with the commentator Mādhavācārya. He wrote the Jaiminīyanyāyamālāvistara and related works on Mimamsa epistemology, and is also linked with the Sarvadarśanasaṃgraha.",70,major,high,Important historical figure; sometimes conflated with Mādhavācārya; his authorship of the compendium is debated.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,116778,Jaiminīyanyāyamālāvistarabhūmikā | Jaiminīyanyāyamālāvistara
